,Total,Vente_pente_Close,Vente_pente_J5,Vente_pente_J10,Vente_pente_J15,Vente_pente_J20,Achat_pente_Close
SansTransaction,103.04977641949918,,,,,,
MaxRendement,115.21547180500305,,,,,,
Scenario_0,104.2063001956805,0.0,False,False,False,False,0.0
Scenario_1,100.28849331336883,0.0,-0.16113757505180487,False,False,False,0.0
Scenario_2,100.1422766004115,0.0,-0.002617841365819884,False,False,False,0.0
Scenario_3,100.1422766004115,0.0,0.07664202547717261,False,False,False,0.0
Scenario_4,100.1422766004115,0.0,0.11627195889866886,False,False,False,0.0
Scenario_5,103.01753217400919,0.0,0.1559018923201651,False,False,False,0.0
Scenario_6,103.01753217400919,0.0,0.19553182574166134,False,False,False,0.0
Scenario_7,107.53765721452285,0.0,0.2351617591631576,False,False,False,0.0
Scenario_8,107.53765721452285,0.0,0.3144216260061501,False,False,False,0.0
Scenario_9,103.77068950941447,0.0,0.4729413596921351,False,False,False,0.0
Scenario_10,103.04977641949918,0.0,False,-0.0769876183470016,False,False,0.0
Scenario_11,103.04977641949918,0.0,-0.16113757505180487,-0.0769876183470016,False,False,0.0
Scenario_12,103.04977641949918,0.0,-0.002617841365819884,-0.0769876183470016,False,False,0.0
Scenario_13,103.04977641949918,0.0,0.07664202547717261,-0.0769876183470016,False,False,0.0
Scenario_14,103.04977641949918,0.0,0.11627195889866886,-0.0769876183470016,False,False,0.0
Scenario_15,103.04977641949918,0.0,0.1559018923201651,-0.0769876183470016,False,False,0.0
Scenario_16,103.04977641949918,0.0,0.19553182574166134,-0.0769876183470016,False,False,0.0
Scenario_17,103.04977641949918,0.0,0.2351617591631576,-0.0769876183470016,False,False,0.0
Scenario_18,103.04977641949918,0.0,0.3144216260061501,-0.0769876183470016,False,False,0.0
Scenario_19,103.04977641949918,0.0,0.4729413596921351,-0.0769876183470016,False,False,0.0
Scenario_20,100.28849331336883,0.0,False,0.040647058646652065,False,False,0.0
Scenario_21,100.28849331336883,0.0,-0.16113757505180487,0.040647058646652065,False,False,0.0
Scenario_22,100.28849331336883,0.0,-0.002617841365819884,0.040647058646652065,False,False,0.0
Scenario_23,100.28849331336883,0.0,0.07664202547717261,0.040647058646652065,False,False,0.0
Scenario_24,100.28849331336883,0.0,0.11627195889866886,0.040647058646652065,False,False,0.0
Scenario_25,100.28849331336883,0.0,0.1559018923201651,0.040647058646652065,False,False,0.0
Scenario_26,100.28849331336883,0.0,0.19553182574166134,0.040647058646652065,False,False,0.0
Scenario_27,100.28849331336883,0.0,0.2351617591631576,0.040647058646652065,False,False,0.0
Scenario_28,100.28849331336883,0.0,0.3144216260061501,0.040647058646652065,False,False,0.0
Scenario_29,100.28849331336883,0.0,0.4729413596921351,0.040647058646652065,False,False,0.0
Scenario_30,100.28849331336883,0.0,False,0.0994643971434789,False,False,0.0
Scenario_31,100.28849331336883,0.0,-0.16113757505180487,0.0994643971434789,False,False,0.0
Scenario_32,100.28849331336883,0.0,-0.002617841365819884,0.0994643971434789,False,False,0.0
Scenario_33,100.28849331336883,0.0,0.07664202547717261,0.0994643971434789,False,False,0.0
Scenario_34,100.28849331336883,0.0,0.11627195889866886,0.0994643971434789,False,False,0.0
Scenario_35,100.28849331336883,0.0,0.1559018923201651,0.0994643971434789,False,False,0.0
Scenario_36,100.28849331336883,0.0,0.19553182574166134,0.0994643971434789,False,False,0.0
Scenario_37,100.28849331336883,0.0,0.2351617591631576,0.0994643971434789,False,False,0.0
Scenario_38,100.28849331336883,0.0,0.3144216260061501,0.0994643971434789,False,False,0.0
Scenario_39,100.28849331336883,0.0,0.4729413596921351,0.0994643971434789,False,False,0.0
Scenario_40,100.28849331336883,0.0,False,0.1288730663918923,False,False,0.0
Scenario_41,100.28849331336883,0.0,-0.16113757505180487,0.1288730663918923,False,False,0.0
Scenario_42,100.28849331336883,0.0,-0.002617841365819884,0.1288730663918923,False,False,0.0
