Date,Close,J2,J3,J4,J5,J6,J7,Mise,Secu,PorteFeuille,NbrAction,Vente,Achat,ValeurAchat,ValeurVente
2019-01-02,39.47999954223633,,,,,,,100.0,0.0,0.0,0.0,False,False,,
2019-01-03,35.54750061035156,37.513750076293945,,,,,,100.0,0.0,0.0,0.0,False,False,,
2019-01-04,37.064998626708984,36.30624961853027,37.364166259765625,,,,,100.0,0.0,0.0,0.0,False,False,,
2019-01-07,36.98249816894531,37.02374839782715,36.53166580200195,37.26874923706055,,,,0.0,0.0,99.48217599982267,2.689979880357546,False,True,37.17499923706055,
2019-01-08,37.6875,37.334999084472656,37.244998931884766,36.820624351501465,37.352499389648436,,,0.0,0.0,101.37861674097502,2.689979880357546,False,False,37.17499923706055,
2019-01-09,38.32749938964844,38.00749969482422,37.66583251953125,37.515624046325684,37.12199935913086,37.51499938964844,,0.0,0.0,103.10020222257043,2.689979880357546,False,False,37.17499923706055,
2019-01-10,38.45000076293945,38.388750076293945,38.15500005086263,37.8618745803833,37.70249938964844,37.34333292643229,37.6485710144043,0.0,0.0,103.42972845203943,2.689979880357546,False,False,37.17499923706055,
2019-01-11,38.0724983215332,38.26124954223633,38.28333282470703,38.13437461853027,37.90399932861328,37.7641658782959,37.44749941144671,0.0,0.0,102.41425447987076,2.689979880357546,False,False,37.17499923706055,
2019-01-14,37.5,37.7862491607666,38.00749969482422,38.08749961853027,38.00749969482422,37.836666107177734,37.7264278956822,0.0,0.0,100.87424551340798,2.689979880357546,False,False,37.17499923706055,
2019-01-15,38.26750183105469,37.883750915527344,37.9466667175293,38.072500228881836,38.12350006103516,38.05083338419596,37.89821406773159,0.0,0.0,102.93880999708266,2.689979880357546,False,False,37.17499923706055,
2019-01-16,38.73500061035156,38.501251220703125,38.167500813802086,38.14375019073486,38.20500030517578,38.225416819254555,38.14857155936105,0.0,0.0,104.19637230748297,2.689979880357546,False,False,37.17499923706055,
2019-01-17,38.96500015258789,38.85000038146973,38.65583419799805,38.366875648498535,38.30800018310547,38.33166694641113,38.33107158115932,0.0,0.0,104.81506644859014,2.689979880357546,False,False,37.17499923706055,
2019-01-18,39.20500183105469,39.08500099182129,38.96833419799805,38.79312610626221,38.53450088500976,38.45750045776367,38.45642907278879,0.0,0.0,105.46066613491786,2.689979880357546,False,False,37.17499923706055,
2019-01-22,38.32500076293945,38.76500129699707,38.83166758219401,38.8075008392334,38.699501037597656,38.49958419799805,38.43857192993164,0.0,0.0,103.09348096699473,2.689979880357546,False,False,37.17499923706055,
2019-01-23,38.47999954223633,38.40250015258789,38.67000071207682,38.74375057220459,38.742000579833984,38.66291745503744,38.496786390032085,0.0,0.0,103.5104245647833,2.689979880357546,False,False,37.17499923706055,
2019-01-24,38.17499923706055,38.32749938964844,38.326666514078774,38.546250343322754,38.630000305175784,38.647500356038414,38.59321485246931,0.0,0.0,102.68997988035754,2.689979880357546,False,False,37.17499923706055,
2019-01-25,39.439998626708984,38.807498931884766,38.69833246866862,38.60499954223633,38.725,38.76500002543131,38.76071439470564,0.0,0.0,106.09280278717641,2.689979880357546,False,False,37.17499923706055,
2019-01-28,39.07500076293945,39.25749969482422,38.89666620890299,38.79249954223633,38.69899978637695,38.78333346048991,38.80928584507534,0.0,0.0,105.1109658772629,2.689979880357546,False,False,37.17499923706055,
2019-01-29,38.66999816894531,38.87249946594238,39.061665852864586,38.839999198913574,38.767999267578126,38.69416618347168,38.76714270455496,0.0,0.0,104.02151704792604,2.689979880357546,False,False,37.17499923706055,
2019-01-30,41.3125,39.991249084472656,39.68583297729492,39.62437438964844,39.33449935913086,39.19208272298177,39.06821387154715,0.0,0.0,111.12979380727113,2.689979880357546,False,False,37.17499923706055,
2019-01-31,41.61000061035156,41.46125030517578,40.53083292643229,40.16687488555908,40.02149963378906,39.71374956766764,39.5374995640346,0.0,0.0,111.93006446351092,2.689979880357546,False,False,37.17499923706055,
2019-02-01,41.630001068115234,41.6200008392334,41.51750055948893,40.80562496185303,40.45950012207031,40.28958320617676,39.9874997820173,0.0,0.0,111.98386529249314,2.689979880357546,False,False,37.17499923706055,
2019-02-04,42.8125,42.22125053405762,42.01750055948893,41.8412504196167,41.206999969482425,40.85166676839193,40.64999989100865,0.0,0.0,115.16476362780745,2.689979880357546,False,False,37.17499923706055,
2019-02-05,43.54499816894531,43.178749084472656,42.66249974568685,42.39937496185303,42.18199996948242,41.59666633605957,41.23642839704241,0.0,0.0,117.13516896466908,2.689979880357546,False,False,37.17499923706055,
2019-02-06,43.560001373291016,43.552499771118164,43.305833180745445,42.88687515258789,42.631500244140625,42.41166687011719,41.87714276994978,0.0,0.0,117.17552728249991,2.689979880357546,False,False,37.17499923706055,
2019-02-07,42.73500061035156,43.14750099182129,43.28000005086263,43.16312503814697,42.856500244140626,42.64875030517578,42.45785740443638,0.0,0.0,114.95629182891315,2.689979880357546,False,False,37.17499923706055,
2019-02-08,42.602500915527344,42.66875076293945,42.965834299723305,43.11062526702881,43.05100021362305,42.81416702270508,42.64214324951172,0.0,0.0,114.5998703156825,2.689979880357546,False,False,37.17499923706055,
2019-02-11,42.35749816894531,42.47999954223633,42.56499989827474,42.81375026702881,42.95999984741211,42.93541653951009,42.748928615025115,0.0,0.0,113.94081785674449,2.689979880357546,False,False,37.17499923706055,
2019-02-12,42.72249984741211,42.53999900817871,42.56083297729492,42.60437488555908,42.79550018310547,42.920416514078774,42.90499986921038,0.0,0.0,114.92266502811691,2.689979880357546,False,False,37.17499923706055,
2019-02-13,42.54499816894531,42.63374900817871,42.541665395100914,42.55687427520752,42.592499542236325,42.75374984741211,42.86678532191685,0.0,0.0,114.44518908431152,2.689979880357546,False,False,37.17499923706055,
2019-02-14,42.70000076293945,42.62249946594238,42.65583292643229,42.58124923706055,42.5854995727539,42.610416412353516,42.74607140677316,0.0,0.0,114.862142943559,2.689979880357546,False,False,37.17499923706055,
2019-02-15,42.60499954223633,42.65250015258789,42.61666615804037,42.6431245803833,42.5859992980957,42.58874956766764,42.60964257376535,0.0,0.0,114.60659157125818,2.689979880357546,False,False,37.17499923706055,
2019-02-19,42.73249816894531,42.66874885559082,42.67916615804037,42.6456241607666,42.6609992980957,42.61041577657064,42.609285082135884,0.0,0.0,114.94956031187857,2.689979880357546,False,False,37.17499923706055,
2019-02-20,43.00749969482422,42.869998931884766,42.78166580200195,42.76124954223633,42.71799926757812,42.718749364217125,42.66714205060686,0.0,0.0,115.68930888356046,2.689979880357546,False,False,37.17499923706055,
2019-02-21,42.76499938964844,42.88624954223633,42.834999084472656,42.777499198913574,42.76199951171875,42.72583262125651,42.72535651070731,0.0,0.0,115.03698794165703,2.689979880357546,False,False,37.17499923706055,
2019-02-22,43.24250030517578,43.00374984741211,43.00499979654948,42.93687438964844,42.87049942016601,42.84208297729492,42.79964229038784,0.0,0.0,116.32145579727789,2.689979880357546,False,False,37.17499923706055,
2019-02-25,43.557498931884766,43.39999961853027,43.188332875569664,43.1431245803833,43.0609992980957,42.984999338785805,42.94428525652204,0.0,0.0,117.16879576546532,2.689979880357546,False,False,37.17499923706055,
2019-02-26,43.58250045776367,43.56999969482422,43.46083323160807,43.286874771118164,43.23099975585937,43.14791615804037,43.07035664149693,0.0,0.0,117.23604936705782,2.689979880357546,False,False,37.17499923706055,
2019-02-27,43.717498779296875,43.64999961853027,43.6191660563151,43.52499961853027,43.372999572753905,43.31208292643229,43.22928510393415,0.0,0.0,117.59919213586417,2.689979880357546,False,False,37.17499923706055,
2019-02-28,43.287498474121094,43.502498626708984,43.52916590372721,43.5362491607666,43.477499389648436,43.35874938964844,43.308570861816406,0.0,0.0,116.44249996639373,2.689979880357546,False,False,37.17499923706055,
2019-03-01,43.74250030517578,43.51499938964844,43.582499186197914,43.582499504089355,43.57749938964844,43.52166620890299,43.41357094900949,0.0,0.0,117.66644573745667,2.689979880357546,False,False,37.17499923706055,
2019-03-04,43.962501525878906,43.852500915527344,43.66416676839193,43.677499771118164,43.65849990844727,43.641666412353516,43.584642682756694,0.0,0.0,118.25824459480218,2.689979880357546,False,False,37.17499923706055,
2019-03-05,43.88249969482422,43.92250061035156,43.862500508626304,43.71875,43.718499755859376,43.69583320617676,43.67607116699219,0.0,0.0,118.0430412788733,2.689979880357546,False,False,37.17499923706055,
2019-03-06,43.630001068115234,43.75625038146973,43.82500076293945,43.804375648498535,43.70100021362305,43.70374997456869,43.686428615025115,0.0,0.0,117.36382505320823,2.689979880357546,False,False,37.17499923706055,
2019-03-07,43.125,43.37750053405762,43.545833587646484,43.65000057220459,43.66850051879883,43.6050001780192,43.62107140677316,0.0,0.0,116.00538234041917,2.689979880357546,False,False,37.17499923706055,
2019-03-08,43.227500915527344,43.17625045776367,43.327500661214195,43.4662504196167,43.56550064086914,43.59500058492025,43.55107171194894,0.0,0.0,116.28110774090595,2.689979880357546,False,False,37.17499923706055,
2019-03-11,44.724998474121094,43.97624969482422,43.69249979654948,43.67687511444092,43.71800003051758,43.75875027974447,43.75642885480608,0.0,0.0,120.30934604440769,2.689979880357546,False,False,37.17499923706055,
